CustomerTransactionID,CustomerID,TransactionTypeID,InvoiceID,PaymentMethodID,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
7,1,1,3,NULL,1/1/2013,90,13.5,103.5,0,1/2/2013,1,10,30:00.0
11,1,1,4,NULL,1/1/2013,445.2,66.78,511.98,0,1/2/2013,1,10,30:00.0
31,1,1,9,NULL,1/1/2013,178,26.7,204.7,0,1/2/2013,1,10,30:00.0
34,1,1,10,NULL,1/1/2013,104,15.6,119.6,0,1/2/2013,1,10,30:00.0
66,1,1,21,NULL,1/1/2013,535,80.25,615.25,0,1/2/2013,1,10,30:00.0
73,1,1,23,NULL,1/1/2013,1490,223.5,1713.5,0,1/2/2013,1,10,30:00.0
84,1,1,27,NULL,1/1/2013,301,45.15,346.15,0,1/2/2013,1,10,30:00.0
88,1,1,28,NULL,1/1/2013,4348,652.2,5000.2,0,1/2/2013,1,10,30:00.0
97,1,1,31,NULL,1/1/2013,749,112.35,861.35,0,1/2/2013,1,10,30:00.0
103,1,1,33,NULL,1/1/2013,32.4,4.86,37.26,0,1/2/2013,1,10,30:00.0
270,1,1,47,NULL,1/2/2013,11020,1653,12673,0,1/3/2013,1,7,30:00.0
279,1,1,51,NULL,1/2/2013,432,64.8,496.8,0,1/3/2013,1,7,30:00.0
281,1,1,52,NULL,1/2/2013,266.4,39.96,306.36,0,1/3/2013,1,7,30:00.0
312,1,1,62,NULL,1/2/2013,688.8,103.32,792.12,0,1/3/2013,1,7,30:00.0
314,1,1,63,NULL,1/2/2013,1296,194.4,1490.4,0,1/3/2013,1,7,30:00.0
323,1,1,66,NULL,1/2/2013,1850,277.5,2127.5,0,1/3/2013,1,7,30:00.0
325,1,1,67,NULL,1/2/2013,4950,742.5,5692.5,0,1/3/2013,1,7,30:00.0
332,1,1,70,NULL,1/2/2013,571.8,85.77,657.57,0,1/3/2013,1,7,30:00.0
338,1,1,72,NULL,1/2/2013,463.2,69.48,532.68,0,1/3/2013,1,7,30:00.0
372,1,1,83,NULL,1/2/2013,6220.4,933.06,7153.46,0,1/3/2013,1,7,30:00.0
375,1,1,84,NULL,1/2/2013,308,46.2,354.2,0,1/3/2013,1,7,30:00.0
381,1,1,86,NULL,1/2/2013,1446,216.9,1662.9,0,1/3/2013,1,7,30:00.0
388,1,1,88,NULL,1/2/2013,1134.2,170.13,1304.33,0,1/3/2013,1,7,30:00.0
401,1,1,91,NULL,1/2/2013,2176,326.4,2502.4,0,1/3/2013,1,7,30:00.0
404,1,1,92,NULL,1/2/2013,104,15.6,119.6,0,1/3/2013,1,7,30:00.0
423,1,1,96,NULL,1/2/2013,451,67.65,518.65,0,1/3/2013,1,7,30:00.0
433,1,1,99,NULL,1/2/2013,273,40.95,313.95,0,1/3/2013,1,7,30:00.0
442,1,1,102,NULL,1/2/2013,366.8,55.02,421.82,0,1/3/2013,1,7,30:00.0
458,1,1,106,NULL,1/2/2013,179.8,26.97,206.77,0,1/3/2013,1,7,30:00.0
463,1,1,107,NULL,1/2/2013,680,102,782,0,1/3/2013,1,7,30:00.0
466,1,1,108,NULL,1/2/2013,2552,382.8,2934.8,0,1/3/2013,1,7,30:00.0
474,1,1,110,NULL,1/2/2013,1235,185.25,1420.25,0,1/3/2013,1,7,30:00.0
